keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'beaufort scale',0.007823465021147877,0.5098771768960197,-0.23699682088182814,0.6055624524635937,12.0
'blizzard',0.06185163561346478,0.9235467166763182,0.019096364049606893,0.9555811840231001,609.0
'derecho',-0.04519651195907144,0.8643605414297476,0.10994292501887,1.123763525644985,26.0
'downburst',-0.6451932974016118,1.6081487691332141,0.8242144167842698,0.8405674983067891,4.0
'dust devil',0.0032373658224826374,0.8805097218731706,0.13927822710964918,0.8818603687642173,14.0
'dust storm',0.16438575764551336,0.9885821318360035,0.07517315473458967,0.9880311734064695,72.0
'haboob',0.0540686511465107,0.6984712627191831,0.13382804898011658,1.0062755228860418,8.0
'sandstorm',0.2848426925426866,1.190698530708492,0.32729794543854485,0.9621064223000056,27.0
'scirocco',0.1363596322759674,0.9304627528685138,0.03285264853470826,0.9758720621882441,14.0
'storm cause',0.0781097631506416,0.9393877187176654,0.14348679716929583,0.918873539551158,139.0
'storm damages',-0.30537326111127494,0.8923428200767086,-0.026120999693069732,1.0500609736664561,42.0
'storm deaths',-0.27642472806255053,0.8866209970055087,0.007553513061585408,0.9769839638569322,68.0
'storm prevention',0.07687736449681812,0.7113285948539284,-0.39301045008591373,0.7884423175998803,29.0
'storm warning',-0.016103182407299906,0.9948399008289546,0.04374920613321877,0.9392330337411982,249.0
'storm',0.005031681981588044,0.9143246139909479,0.03949122059605861,0.9100799050144478,2071.0
'tornado',-0.03145895616995668,0.8917276429277079,-0.01595723648702158,0.9355212130400284,456.0
veryUnusualAndNeverUsedKeyword,0.01131316462043285,0.921495390273779,0.05910645182950936,0.9420187296197017,117.0
