,summary,Mitigation,Hazard,Impacts,Causes,Adaptation,word
weekend,48.283188537171924,-0.05456921493229368,0.03370811719933898,0.054140269592139925,-0.07134765340544375,-0.050203962711689205,weekend
the weekend,13.957089438365594,-0.030596409066195374,0.010731974113203807,0.02790255507247383,-0.030823712540814244,-0.010468936391800517,the weekend
weekend has,3.6849995747398006,0.0662680585530411,-0.10457735355229576,0.010463294233362315,0.06585093308420871,0.08015105004429349,weekend has
according,17.87830947464118,-0.04046538062820683,0.01851062186778044,0.03372187047215227,-0.0406833550842902,-0.02003301737111896,according
died according,5.507265356172741,0.03829925051412309,-0.07638273571039528,0.025058545642763625,0.03798210367768237,0.05548044564149169,died according
...,26.68229636289949,-0.06709311126676235,0.052340207514523555,0.029116841582422105,-0.06730211162379354,-0.04636766308654639,...
according ...,3.837782716960726,0.0632365028691269,-0.10156479566088883,0.012184371590303455,0.0628323611812358,0.07754892706960685,according ...
... woman,3.886566686066042,0.06230415628693545,-0.10063576421034728,0.012706486076313967,0.06190389841186638,0.07674497250841464,... woman
debris over,4.336173424276785,0.05441895255383459,-0.0927345841844559,0.016990300027356017,0.05404952005626718,0.06987775831117456,debris over
weekend while,3.4711381131904755,0.07082426776117717,-0.1090801855852925,0.007808124001427967,0.07038659559538452,0.08402702442418562,weekend while
her,6.766224803481786,-0.2830537869948845,0.39476677844312036,-0.3084259721887129,-0.2833956578559681,-0.26668636315365274,her
according her,3.9746967252357264,0.060660855303315976,-0.09899551099192892,0.013618590651859467,0.060267318570267125,0.07532379146465676,according her
her family,3.7597726394037707,0.06476265350509039,-0.10308297694999904,0.011322442007443076,0.06435204367184012,0.07886118738658027,her family
Ava,3.837782716960726,0.0632365028691269,-0.10156479566088883,0.012184371590303455,0.0628323611812358,0.07754892706960685,Ava
Ahlander,3.8016859163467602,0.06393719048105966,-0.10226222029641799,0.0117897685884978,0.06353009624419327,0.07815198905667604,Ahlander
ava ahlander,3.8016859163467602,0.06393719048105966,-0.10226222029641799,0.0117897685884978,0.06353009624419327,0.07815198905667604,ava ahlander
origina…,3.691995010142219,0.06612539320557896,-0.10443587056494241,0.01054509748552398,0.06570889100452161,0.08002900642638279,origina…
ahlander origina…,3.691995010142219,0.06612539320557896,-0.10443587056494241,0.01054509748552398,0.06570889100452161,0.08002900642638279,ahlander origina…
+2026,3.6261827809708524,0.06748294770440677,-0.10578099233331369,0.009763419754326893,0.06706046543478494,0.08118867077853426,+2026
origina… +2026,3.6261827809708524,0.06748294770440677,-0.10578099233331369,0.009763419754326893,0.06706046543478494,0.08118867077853426,origina… +2026
chars,184.88901676939489,-0.13457211009935366,0.12484765839578756,0.02514348098633377,-0.11328132861037084,-0.1335621694651429,chars
+2026 chars,3.5906493514939175,0.06823054373164682,-0.10652060195186504,0.009329826446826183,0.0678047211650535,0.08182570108366546,+2026 chars
Neighborhoods,3.6140371868367236,0.06773730702175847,-0.10603272603038673,0.00961614576509492,0.06731369202416272,0.08140553855626223,Neighborhoods
Devastated,3.706288800294808,0.06583507127864364,-0.10414786546780555,0.010711317811970279,0.0654198336705974,0.07978052311829774,Devastated
neighborhoods devastated,3.706288800294808,0.06583507127864364,-0.10414786546780555,0.010711317811970279,0.0654198336705974,0.07978052311829774,neighborhoods devastated
Wildfires,3.8471979706993675,0.0630552657130731,-0.10138429421431763,0.012286127803071834,0.06265188300195214,0.07739278264909011,Wildfires
devastated wildfires,3.8471979706993675,0.0630552657130731,-0.10138429421431763,0.012286127803071834,0.06265188300195214,0.07739278264909011,devastated wildfires
Now,10.452732969637685,0.001016484707462391,-0.038173391062706494,0.04080915832961002,0.0007739867627044612,0.02064692874634121,Now
wildfires now,3.951360424611922,0.06109097643338897,-0.0994251742223437,0.013380853802027077,0.06069569576470448,0.07569628754305215,wildfires now
Brace,3.99900359516462,0.06021659486035991,-0.09855147403431722,0.01386340212552723,0.059824848058486486,0.0749386697494966,Brace
now brace,3.99900359516462,0.06021659486035991,-0.09855147403431722,0.01386340212552723,0.059824848058486486,0.0749386697494966,now brace
for,218.01007963350722,-0.0729968103635357,0.11602455241964059,0.018471334357222924,-0.1368944051977511,-0.13383071339647035,for
brace for,9.879673663536824,0.04893252179449312,-0.049381737615548336,0.03177959469938246,-0.0035581578103953985,0.01616814380423125,brace for
Deadly,11.297558384164416,-0.0030210134915673323,-0.0340532368595119,0.042322537968090414,-0.0032584887995110857,0.01677378623589055,Deadly
for deadly,4.137829747601472,0.05774977969601719,-0.09608139375853923,0.015209166608951948,0.05736776331319103,0.07279323495588022,for deadly
Flash,10.205558586626447,0.09789856831790084,0.12061334027728073,-0.11101808814787667,-0.13817447285334433,-0.11873061144250834,Flash
deadly flash,4.257069813853078,0.05572144840240558,-0.09404485875578493,0.016298670625893408,0.05534717035332046,0.0710203561698468,deadly flash
Floods,4.379389116836304,0.053721222554350294,-0.09203190588419971,0.017358250255051583,0.05335434628120004,0.06926436229518003,Floods
flash flood+s,4.379389116836304,0.053721222554350294,-0.09203190588419971,0.017358250255051583,0.05335434628120004,0.06926436229518003,flash flood+s
Southern,16.479517022348613,-0.02234323175830756,-0.01657159495411576,0.04780012904142928,-0.015284776280418938,-0.0019808527485716864,Southern
flood+s southern,4.554918612112908,0.05098229496349862,-0.08926849716144983,0.018785667620077696,0.05062518934561922,0.0668476651479695,flood+s southern
California,38.75762750717609,-0.030606636113359516,0.024520981415674246,0.04809849059386939,-0.06491655825762153,-0.04638188918909368,California
southern california,18.034233497636677,0.0022609335898590038,-0.017178711653257708,0.044621232033563885,-0.025041997539740766,-0.01027295274847572,southern california
first,35.168083972727864,-0.05771317419726872,0.022619476376254333,0.053388859387799734,-0.051437021931188556,-0.03685775315214147,first
california first,5.659399037274414,0.036548900305383825,-0.07459510944500213,0.025882937046196337,0.03623661486248084,0.05388995748552924,california first
wintry,11.024052720681697,0.04459349221689704,-0.0436903029466775,0.033768604695311254,-0.00951722239681483,0.010450877162654117,wintry
first wintry,6.41956900814473,0.0286634710677226,-0.06652284114065588,0.0294816384541311,0.028371250019243795,0.04666380760624132,first wintry
wintry storm,8.853704131024227,0.009964512564220656,-0.04733342433966534,0.037338542559405996,0.009709042517915437,0.029170205726935017,wintry storm
storm the,33.96516891847152,-0.058790140821797704,0.02838782311607476,0.05052585528349371,-0.05899556452846609,-0.03794794255607783,storm the
season,38.965850526608,-0.09658699894690251,0.09169797633671202,0.017626248243107257,-0.09679135392382311,-0.07570992186913732,season
the season,12.721255770547044,-0.00900902773066494,-0.027962617020529528,0.044512332895959024,-0.0092399071432729,0.011001520566684493,the season
could,75.31567435387332,-0.06672263040411647,0.03918612619712913,0.056559177468669834,-0.06307161876350219,-0.06516840581843095,could
season could,5.151602250932917,0.042659490605433434,-0.08082719221067565,0.02296252086682109,0.042329560707393514,0.05942009661027549,season could
create,11.245396407591361,-0.013409518157028214,-0.012450479968751189,0.030816304216313685,-0.013647968242975652,0.006353388461790858,create
could create,4.8615387951689195,0.04653051341181754,-0.08476096390112697,0.021049278745601238,0.046188406631697744,0.06289016620763771,could create
dangerous,44.708949876107944,-0.08245960289841556,0.07361283040969907,0.015939503287292947,-0.05015627521842295,-0.08347058211809819,dangerous
create dangerous,4.554918612112908,0.05098229496349862,-0.08926849716144983,0.018785667620077696,0.05062518934561922,0.0668476651479695,create dangerous
situation,4.315527152847478,0.054755707225360356,-0.093073533675109,0.01681207723453199,0.05438503114813002,0.07017348060844447,situation
dangerous situation,4.315527152847478,0.054755707225360356,-0.093073533675109,0.01681207723453199,0.05438503114813002,0.07017348060844447,dangerous situation
areas,41.01097206944834,-0.036661081370531486,0.1142141498048726,-0.0165418033650018,-0.12225578151261009,-0.11822975879965263,areas
situation area+s,4.092801959168221,0.058537049037036964,-0.09687052235340847,0.014782162716404637,0.05815196549368757,0.07347922081059184,situation area+s
affected,12.958118496841578,-0.08841556592286871,0.11771178442632937,-0.039271987086356965,-0.08864986097257625,-0.06851672878076127,affected
area+s affected,4.122459624930316,0.058017161906805975,-0.09634949197357429,0.015064402523209505,0.05763410782289394,0.07302635236134018,area+s affected
affected the,4.6447403457209395,0.049636448744813634,-0.08790779586989889,0.019477285411983312,0.0492839916733847,0.0656550586114168,affected the
wildfires,5.972263498232619,0.03314081979325899,-0.07110964731696855,0.027461008840627552,0.03283756867329491,0.05077883203790006,wildfires
the wildfires,4.500385630165118,0.05181738126367339,-0.09011188176971952,0.018353300499015922,0.05145734093375625,0.06758598628828826,the wildfires
January,4.948212576043433,0.04534142833122841,-0.08355392428658055,0.02164234060330078,0.0450031464543574,0.06182705755012272,January
wildfires january,4.948212576043433,0.04534142833122841,-0.08355392428658055,0.02164234060330078,0.0450031464543574,0.06182705755012272,wildfires january
powerful,96.896557403788,-0.09953592538273846,0.0787758695813552,0.04724344032244251,-0.09926807176817026,-0.08743057795066662,powerful
rainstorm,7.074127158019152,0.022811595040956745,-0.060519075000109605,0.03203716501760989,0.02253242350361525,0.04124026100002258,rainstorm
powerful rainstorm,7.074127158019152,0.022811595040956745,-0.060519075000109605,0.03203716501760989,0.02253242350361525,0.04124026100002258,powerful rainstorm
moving,11.054087392321446,-0.11530780067468947,0.16705959704388143,-0.08019175360646219,-0.11555489363518946,-0.09582776977066566,moving
rainstorm moving,6.60607698921222,0.026917882028607506,-0.0647327482725966,0.030253826087941468,0.02662971187393659,0.045051221324979865,rainstorm moving
down,31.042806502537285,-0.3707974384811394,0.42294100681101227,-0.23748977798670765,-0.37100945223668724,-0.35017038148013785,down
moving dow+n,5.659399037274414,0.036548900305383825,-0.07459510944500213,0.025882937046196337,0.03623661486248084,0.05388995748552924,moving dow+n
dow+n the,19.358744900596406,-0.05177627809466769,0.03656516191893028,0.02666198164605759,-0.05199218064565664,-0.031276230138659024,dow+n the
the california,8.281453257769618,0.013695860951713407,-0.05116113822458336,0.03583976737621036,0.013434162225934871,0.03269747250407021,the california
coast,14.053947935482704,0.002889371579517288,-0.025949992110903715,0.04341914502846039,-0.016749044663488703,0.0036367216347682105,coast
california coast,7.648783908991907,0.01823634433178653,-0.05582195560836866,0.033971672274717216,0.01796635807713068,0.03696628450736603,california coast
coast could,4.4495573130417805,0.05260842024329026,-0.09091011343243556,0.017941443324560356,0.052245564223135366,0.06828416848549447,coast could
dump,5.382187719523409,0.12682372613671242,-0.09494431295170569,0.007869499477158759,0.024526651167130046,0.0417920481923688,dump
could dump,4.315527152847478,0.054755707225360356,-0.093073533675109,0.01681207723453199,0.05438503114813002,0.07017348060844447,could dump
more,74.08203798789123,-0.16038419143666502,0.14441900548582945,0.02368723958694451,-0.1364772907692369,-0.14280643828842868,more
dump more,4.220734573748931,0.05633106488230468,-0.09465744906396764,0.015972821234758783,0.05595448580291728,0.07155402492600862,dump more
than,70.25107639313039,-0.2371772888924018,0.2613149675409158,-0.07602706555957973,-0.20611209824810936,-0.21927405472791833,than
more than,56.87264685366897,-0.2661023942197075,0.30874579353892145,-0.13019641232925613,-0.2361455202462537,-0.2513267670887018,more than
inch,4.0243511275137225,0.05975732692912931,-0.09809217306700094,0.014115694937746667,0.059367418442440256,0.07454013263634612,inch
than inch,4.0243511275137225,0.05975732692912931,-0.09809217306700094,0.014115694937746667,0.059367418442440256,0.07454013263634612,than inch
rain,102.66157432441656,-0.10308527119007395,0.08758337292485459,0.03274093274333649,-0.08317465512274147,-0.09871194367030733,rain
inch rain,7.074127158019152,0.022811595040956745,-0.060519075000109605,0.03203716501760989,0.02253242350361525,0.04124026100002258,inch rain
rain over,3.8764579683789058,0.06249599403689252,-0.10082701477343503,0.012599331316801606,0.062094941217203214,0.07691053316796033,rain over
multiple,14.926555277192524,-0.007464025943782494,-0.021734450054706797,0.045700788936417915,-0.01842935569665742,0.002037415448915744,multiple
over multipel+e,3.8285283768049494,0.06341525403301837,-0.10174277775516676,0.012083886372106232,0.06301036188093935,0.07770286583782454,over multipel+e
burn,9.52350339095074,0.15320728399720873,-0.07174936966580657,0.01133381903935954,-0.019807122107340914,-0.00022130408470603165,burn
multipel+e burn,3.7517803294188243,0.0649215344904159,-0.103240843939186,0.011232187552208318,0.06451024335592112,0.0789975342186555,multipel+e burn
scar,8.280129700862041,0.2109500711466166,-0.09099589396429378,-0.0026696428318085104,-0.02205764026547088,-0.0029155785447159874,scar
burn scar,8.280129700862041,0.2109500711466166,-0.09099589396429378,-0.0026696428318085104,-0.02205764026547088,-0.0029155785447159874,burn scar
scar area+s,8.326229694992037,0.24466902389798773,-0.09853489398068088,-0.010142688105330753,-0.02937960757662738,-0.010243752751150543,scar area+s
Los,16.61450620982627,-0.1020901572710999,0.1299820809428869,-0.036634029505057265,-0.10231297778234959,-0.08181614603518748,Los
area+s los,3.6200709902638604,0.06761079254807409,-0.10590752927684746,0.009689429834690752,0.06718774143694863,0.08129768815817107,area+s los
Angeles,18.99007251085819,-0.11510025608134647,0.1457410239029969,-0.041817944992089455,-0.1153186950328997,-0.09468306837667786,Angeles
los angeles,16.961755281470598,-0.09636935192764445,0.11988286079552911,-0.02916958036758785,-0.09659113787899205,-0.07606153005526055,los angeles
County,25.230117783877553,-0.08884127539586321,0.08677169233868824,-0.00862168133544951,-0.04221836139602356,-0.07920310726910405,County
angeles county,3.5523704375552163,0.069047758881593,-0.10732814642022309,0.008853298501827802,0.06861824655489746,0.08252075823096253,angeles county
today,10.420727122322173,0.0011777232910743774,-0.03833812590583548,0.04074807130458661,0.0009350145593297031,0.02080126848489653,today
county today,3.5170839458009793,0.06981226902107587,-0.10808270950552164,0.00840507506860261,0.06937926850130106,0.08316975975717462,county today
including,11.85892899906384,-0.02306170655854294,-0.034137334567274386,0.02438131355211374,0.06391489635322263,-0.003208597617761645,including
today including,3.4844160493570757,0.07052985426827153,-0.10879015750891184,0.007982218162219513,0.07009354757436004,0.08377784234291366,today including
those,8.264630247782287,-0.01761245429394037,0.013095542606554059,0.0017069673089465003,-0.01787771511128933,0.0012724075977329468,those
including those,3.441683768058632,0.07148314145961397,-0.10972876426274009,0.007417240482358761,0.0710423944711758,0.0845840312631046,including those
those the,5.272611332167346,0.04113129448255779,-0.07927098891726722,0.02370413894378535,0.0408059556486878,0.0580429943456533,those the
Eaton,3.391988654274532,0.07261326515214575,-0.11083966680082877,0.006742664324316434,0.07216718283048856,0.08553735616804543,Eaton
the eaton,3.391988654274532,0.07261326515214575,-0.11083966680082877,0.006742664324316434,0.07216718283048856,0.08553735616804543,the eaton
and,483.32384562401273,-0.13735130503664345,0.13481466929459568,0.036317965336972846,-0.14825553544924153,-0.1478258497980525,and
eaton and,3.370966172450878,0.07309850155995849,-0.11131603814132845,0.006451421199969632,0.07265010462480305,0.08594587560372792,eaton and
Palisades,3.357548655629054,0.07341047540222927,-0.11162211644630783,0.006263661376259208,0.07296058276465583,0.08620826955863828,Palisades
and palisades,3.357548655629054,0.07341047540222927,-0.11162211644630783,0.006263661376259208,0.07296058276465583,0.08620826955863828,and palisades
fires.…,3.3259063513005054,0.07415333249708934,-0.11235031401561311,0.005814964406689413,0.0736998545064922,0.08683226128102217,fires.…
palisades fires.…,3.3259063513005054,0.07415333249708934,-0.11235031401561311,0.005814964406689413,0.0736998545064922,0.08683226128102217,palisades fires.…
+3161,3.2995196481826587,0.07478060925223716,-0.11296452570350257,0.0054343062906460305,0.07432407755103873,0.08735827903481344,+3161
fires.… +3161,3.2995196481826587,0.07478060925223716,-0.11296452570350257,0.0054343062906460305,0.07432407755103873,0.08735827903481344,fires.… +3161
+3161 chars,3.282913938106381,0.07517907721490667,-0.11335436543904108,0.005191653183747447,0.07472059321691912,0.08769200089953821,+3161 chars
Geomagnetic,12.69239671422291,-0.008896410503307278,-0.028076916230758323,0.044471721510016736,-0.009127405108850985,0.011110370763932051,Geomagnetic
Storm,61.38443980989152,0.03314210917776362,0.05112640163012916,0.012127655889462055,-0.08668194044208387,-0.10127750589697994,Storm
geomagnetic storm,109.28748793687076,-0.08658560053546688,0.0470983019129871,0.06903277717816013,-0.08678494738291828,-0.06554512567449938,geomagnetic storm
Watch,21.11645447458528,-0.05847020924971297,0.07222924831350216,0.004956176732251885,-0.0774340047278137,-0.056664924144491334,Watch
storm watch,24.176131670891518,-0.03798520684666274,0.0010257149763099817,0.05435458843194717,-0.038195490163579635,-0.017301645937256287,storm watch
Northern,17.526001787498853,-0.026298497900892868,-0.0150264779967489,0.047526532069181955,-0.01071416169294949,-0.005872175947867092,Northern
watch northern,3.608079709493613,0.06786251573711177,-0.10615660763157335,0.009543555235759357,0.06743834172798674,0.08151224394960425,watch northern
Lights,7.200300649832745,0.02176590420332813,-0.059445634434430544,0.032484077856069805,0.021488908475684278,0.04026595238970759,Lights
northern lights,38.21447821349092,-0.05950826713114423,0.02272156835013325,0.05555232941704743,-0.051997643288897,-0.0386255844817796,northern lights
Could,6.381900145099274,0.0290242415605872,-0.06689269854353022,0.029320972213679505,0.028731166106535446,0.046996521035340695,Could
lights could,7.87168413707812,0.016582052975547427,-0.054123594393130636,0.03465810229106365,0.016315179077827886,0.035414036083529006,lights could
Dazzle,3.7597726394037707,0.06476265350509039,-0.10308297694999904,0.011322442007443076,0.06435204367184012,0.07886118738658027,Dazzle
could dazzle,3.7597726394037707,0.06476265350509039,-0.10308297694999904,0.011322442007443076,0.06435204367184012,0.07886118738658027,could dazzle
States,22.57342359163096,-0.03130123312364634,0.05265272016243715,0.010114251589307687,-0.06245442697079345,-0.05548108990956267,States
dazzle state+s,3.8471979706993675,0.0630552657130731,-0.10138429421431763,0.012286127803071834,0.06265188300195214,0.07739278264909011,dazzle state+s
Tonight,8.476219378358547,0.0123889423046886,-0.04982011289282471,0.03636835813736043,0.012129483280703844,0.031463947156325216,Tonight
state+s tonight,5.507468017477404,0.03829687551809181,-0.0763803113850794,0.025059670745720356,0.03797973538142329,0.055478290994164445,state+s tonight
NOAA,17.070269174627832,-0.02296969744257895,-0.013881935782390204,0.04939385577975684,-0.023188616640095302,-0.002568200442208973,NOAA
tonight noaa,4.011542621914791,0.05998889411933764,-0.09832379031351808,0.013988586590684672,0.059598060270476975,0.07474113026607286,tonight noaa
Space,18.080559378392916,-0.025560043723433463,-0.011291091324158986,0.05026912735171269,-0.02577719666299469,-0.005100841987552606,Space
noaa space,4.107455177442801,0.058279528644767084,-0.096612476917817,0.014922093784950819,0.0578954523208119,0.07325496275382308,noaa space
Weather,64.69712713707193,-0.024497708947269246,0.1015624592435561,-0.00018163086207172592,-0.12751901824019748,-0.11785021282259169,Weather
space weather,14.072982967895774,-0.013940666425539849,-0.02296771131050228,0.046270449495944804,-0.014166812424337661,0.006224646322071985,space weather
Prediction,8.061708620016049,-0.15058103912978488,0.1312155746996875,-0.14524389427364381,0.1352864692053686,-0.13234488668719802,Prediction
weather prediction,6.75996872950459,0.02552621828635681,-0.06330504975665545,0.03086336314249808,0.025241180258199446,0.043762370728943734,weather prediction
Center,16.530041847156955,-0.08626888944348331,0.05738438283562,-0.02010249087935544,0.03641194094496483,-0.06598096900783647,Center
prediction center,7.909750061186786,-0.14139784980541772,0.11500518428478759,-0.1369687234845981,0.14927705656199014,-0.12320803064625557,prediction center
center has,4.903800608007091,0.04594712842048496,-0.084168922427606,0.021340844626333497,0.04560690763884136,0.06236890185408484,center has
issued,47.655669521102936,0.05453107357065438,0.08921398294702156,-0.020599230742887383,-0.14232119158821652,-0.12119664292873648,issued
has issued,21.297137009386365,-0.030758017009903143,-0.0045187359242487395,0.05232073124026846,-0.03320858019495142,-0.012397981057289748,has issued
geomagnetic,63.20954363312864,-0.07180238952817933,0.03346650702718093,0.06474002006681667,-0.0720033079772859,-0.050813181835530255,geomagnetic
issued geomagnetic,5.75683543713745,0.035460851163195396,-0.07348300653799626,0.026390596339452968,0.03515151133405365,0.052898748206204306,issued geomagnetic
watch,28.281607095292287,-0.10448849623715066,0.1272742203388366,-0.017116558062752238,-0.11415804610457907,-0.09321739209624717,watch
watch for,5.75683543713745,0.035460851163195396,-0.07348300653799626,0.026390596339452968,0.03515151133405365,0.052898748206204306,watch for
October,15.970929259627724,-0.014600836743852146,-0.01785698934435066,0.047466448627457185,-0.020965647052785287,-0.0004175303779308009,October
for october,5.410549484862725,0.03944634503777051,-0.07755323833689134,0.02451304581501516,0.03912592912863711,0.05652001269534392,for october
several,33.2106149231564,-0.065072334676365,0.05008552878984408,0.05054334331122752,-0.07120892743178421,-0.07700169282241986,several
october several,4.710847056702124,0.048668615757522266,-0.08692818504928368,0.019970716192171663,0.04831944012601032,0.06479537256509266,october several
coronal,9.96773997644133,0.0035312112597542357,-0.04074417872232279,0.03985055488243725,0.0032853332344578603,0.023051016482565332,coronal
