domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
consent.yahoo.com,-0.056832338163075244,0.1298522864751398,0.40355260257444914,0.1404810178892537,188.0
www.bbc.com,0.09494447733310078,0.19167628846518872,0.4169898289268124,0.1748123254894712,88.0
www.cbc.ca,0.011754953216651674,0.14066214171786706,0.4065974577445763,0.20770447149627458,88.0
economictimes.indiatimes.com,0.032806533211946355,0.15845545705947978,0.47936180680192747,0.1741146599945963,86.0
slashdot.org,0.05342117032331679,0.1119406473245305,0.4670700667074124,0.1301148350638436,81.0
www.cbsnews.com,0.01655042751780847,0.23610388841886631,0.5294275850340137,0.21190727083356578,75.0
nypost.com,0.005744458388533064,0.22395325917010062,0.4825252621091525,0.17295958245585324,68.0
www.yahoo.com,0.0126452506062186,0.20151359065466454,0.4858455604519227,0.19635291670299423,61.0
www.abc.net.au,0.0620218474417512,0.15122422527325796,0.4215637453082374,0.20518491641475084,56.0
www.npr.org,0.04235642766324584,0.17132764993220456,0.4300653210183368,0.18702727735184493,52.0
abcnews.go.com,0.04979467193723729,0.16323278614589476,0.5011355776878653,0.19042946219130738,51.0
bringatrailer.com,-0.0079420820306237,0.11577377299390362,0.2186675785634119,0.17390715128043052,48.0
www.aljazeera.com,0.008094246031746027,0.16706960898851522,0.45151058201058203,0.15898676025369304,45.0
timesofindia.indiatimes.com,0.06491543744321523,0.14067810270190395,0.3635209903265459,0.15625889111854788,45.0
gizmodo.com,0.06760676781277827,0.15035078636815724,0.5411336844130834,0.1783077787029782,41.0
www.dailymail.com,-0.01769837248172429,0.25321133884951874,0.51175534424241,0.18923063081309338,41.0
www.wowhead.com,0.17045681244260788,0.15415185527006187,0.43028569263228356,0.2097861249995121,40.0
blizzardwatch.com,0.13326410560055543,0.20722643242663727,0.4723410997587749,0.18918992260251086,38.0
abcnews.com,0.03450652879224308,0.23625679417975887,0.4595492756207042,0.1815632756344657,37.0
www.windowscentral.com,0.12344043850197492,0.14563464971864754,0.47055216510444775,0.1205200405167145,36.0
biztoc.com,0.05236697810437306,0.2240765209842735,0.4546958561202259,0.20975814312369473,35.0
www.foxweather.com,0.027943575590525,0.16229130408987896,0.5495459041757405,0.18282273128833462,32.0
www.forbes.com,0.06374646426370564,0.13217805992753437,0.4061851032109653,0.20742418473130186,29.0
pypi.org,-0.07614942528735633,0.09998075553741588,0.39003831417624524,0.06986388110802497,29.0
www.insurancejournal.com,0.02827223542740783,0.22829520155955033,0.4219866723314999,0.20591101364025916,29.0
kotaku.com,0.0544882498453927,0.18653411825581315,0.4344100013742871,0.12417998478687407,28.0
www.nbcnews.com,0.07892996335438938,0.12769390944215903,0.4334850877580469,0.24494652957449844,28.0
www.irishtimes.com,0.00755827801827802,0.14621822667809972,0.4116223376623377,0.172119660038629,25.0
www.rte.ie,-0.05423494346501593,0.27426165579008893,0.39397025344489117,0.31778202676783757,23.0
www.eurogamer.net,0.1419036527719828,0.14882721816977418,0.4172182757496493,0.1482442665381733,23.0
www.businessinsider.com,0.023901170085952696,0.12082205305528869,0.32729743605830564,0.19076252960930593,23.0
cheezburger.com,0.08213190930249221,0.16918191094459686,0.5369849305047515,0.17662037445368603,23.0
theconversation.com,0.01068633302724212,0.1401428007793747,0.49170873507805324,0.1875643654738718,22.0
dailycaller.com,0.06352859378128517,0.1445520783339673,0.5246143416104541,0.20548630089158784,22.0
www.pbs.org,0.03389727223534042,0.15192446719480324,0.4732899886308978,0.14705799914799741,22.0
www.mensjournal.com,0.04411585931762184,0.22630749757714955,0.52695743733236,0.22473064404512316,21.0
alltoc.com,0.049163179743536886,0.2291953901877767,0.4334921097421097,0.2080347275305347,21.0
bleedingcool.com,0.0797736031204646,0.09100977438985546,0.3991388842038193,0.12205731480432483,21.0
freerepublic.com,-0.03512335407647908,0.20563324248225612,0.3800705266955267,0.21575158470027195,20.0
www.thestar.com.my,0.06431557794057793,0.13734525976341064,0.4127144892144893,0.20462556208173519,20.0
www.bostonherald.com,0.020972412090833142,0.16462915676859657,0.40774360142781196,0.19250444720183385,19.0
gothamist.com,0.05296939705294082,0.07976961463446722,0.44987619298646236,0.111952579571686,18.0
kyweathercenter.com,0.12410703237092124,0.11410552315238827,0.5278123522567967,0.12427094132468106,18.0
www.newser.com,0.014862914862914859,0.15709080550508744,0.4535300769491946,0.19406526716575925,17.0
www.nzherald.co.nz,0.051528149223461724,0.12847288676608712,0.3910617391867392,0.197806108340367,16.0
www.naturalnews.com,0.0056551426417497845,0.09833906995107763,0.44801983647965793,0.1402307089045659,16.0
comicbook.com,0.18222958705155676,0.09786856156714639,0.4868905573943453,0.1499155351229053,15.0
news.sky.com,-0.04002819865319865,0.1531352593985522,0.3946820185986853,0.23148210029032393,15.0
en.protothema.gr,0.0186241217186293,0.11032787665485855,0.4183020781407146,0.10951304107514402,15.0
www.usatoday.com,0.07791536395703064,0.16291501518709145,0.4059071067821068,0.2025378697215989,15.0
www.foxnews.com,0.036888924567496,0.13688695909180396,0.43960410621124907,0.1356813021730509,14.0
indianexpress.com,0.0883525568346997,0.17375828908224494,0.4685887260887261,0.16691221463526965,14.0
insidethemagic.net,0.07076148927803226,0.14856633617945744,0.420696122331481,0.19459051417416795,14.0
www.hearthpwn.com,0.07220640635819207,0.18710039546863694,0.38865453329739047,0.25465056990457313,14.0
www.thejournal.ie,0.049537681234109794,0.2963922643732602,0.3788097814883529,0.21601363639376747,14.0
sports.yahoo.com,0.12043530543530544,0.16183401323043847,0.40904040404040404,0.17763783054733157,14.0
www.independent.ie,0.0574471930186216,0.18432107185857338,0.42793996942211227,0.16102201037841565,14.0
financialpost.com,0.052469336219336214,0.22820159789136452,0.4511589799089799,0.21865620627837262,13.0
www.pcgamer.com,0.08931010347677014,0.12233343301227331,0.5170805429138763,0.13449561932514037,13.0
www.channelnewsasia.com,0.03374004467754468,0.20037584714559453,0.44577842296592296,0.2565753533556165,12.0
www.scientificamerican.com,0.03937935906685906,0.14878995482391505,0.5337974987974988,0.15449637828397256,12.0
www.prnewswire.com,0.20022727272727273,0.1854888776648717,0.3596212121212121,0.23141213944568312,11.0
ktla.com,0.08059702502884321,0.09608115310416754,0.39553309905582634,0.11796260482322186,11.0
www.ibtimes.com.au,-0.026269841269841266,0.11712629469527797,0.4198753771481044,0.2067065467180919,11.0
spacedaily.com,0.047603706618858134,0.06584662412870851,0.4825923284067224,0.1253574202549658,11.0
www.dw.com,0.05705405369041732,0.12823709450352364,0.4399038873584328,0.10275394015179645,11.0
www.times-news.com,0.18324675324675327,0.19381333057346548,0.3327084582084582,0.05632397823635488,10.0
www.cnn.com,0.09269751082251083,0.1431617398597284,0.4402774170274171,0.08950149898725022,10.0
weather.com,0.039090977805263515,0.09984692499873411,0.3671115577544149,0.15221536151030074,10.0
rollingout.com,0.023347763347763346,0.23640704623588765,0.508160533910534,0.200307975386328,10.0
punchng.com,0.14611223845598845,0.12673993560396088,0.45868001443001444,0.16371514383456626,10.0
www.cnet.com,0.1401070226070226,0.23834742524302507,0.6164002458446903,0.1255181444908045,9.0
grist.org,0.017420100475656026,0.12432054949737821,0.4348485516541072,0.144086035684875,9.0
www.boredpanda.com,0.027205449606243257,0.11354639754961057,0.5291091066487892,0.1890878615603631,9.0
www.globenewswire.com,0.1670875420875421,0.20817421992465995,0.41759259259259257,0.20901739546013456,9.0
www.huffpost.com,0.10396632996632997,0.18317835278475408,0.5063198653198654,0.12178027721486234,9.0
wccftech.com,0.015154320987654322,0.1056320182772362,0.40745884773662555,0.10447701824011088,9.0
www.lifesciencesworld.com,0.2559876543209876,0.16525280571799084,0.6258333333333334,0.14161396078384686,9.0
www.rockpapershotgun.com,0.006270943562610234,0.18177452949393702,0.41973254369087704,0.17461698025127495,9.0
post.rlsbb.to,0.006251352813852813,0.11835626937223989,0.34335858585858586,0.19385730210034202,8.0
twistedsifter.com,0.1470797821969697,0.1324937595963054,0.5611046476671477,0.14451722082893548,8.0
allears.net,0.17638285759379507,0.22606601141545676,0.4627311056998557,0.229546118022808,8.0
apnews.com,0.027713331228956223,0.13140207409192547,0.49725792147667147,0.23672344075063806,8.0
www.space.com,0.21506320646945648,0.1428413315435664,0.5196330868205868,0.2045086776713039,8.0
www.gamespot.com,0.09792275432900432,0.08686031641892873,0.47038780663780666,0.2095588067152705,8.0
science.nasa.gov,0.052458542339494714,0.10947727294177978,0.503299033418081,0.16163666930485543,7.0
fortune.com,0.022819135229849526,0.1425973482098549,0.41706529581529583,0.25572895021150815,7.0
